id,title,description,start,end
116,Acts of Vengeance!,Loki sets about convincing the super-villains of Earth to attack heroes other than those they normally fight in an attempt to destroy the Avengers to absolve his guilt over inadvertently creating the team in the first place.,1989-12-10 00:00:00,2008-01-04 00:00:00
227,Age of Apocalypse,"In a twisted version of the world they knew, the X-Men battle against the eternal mutant Apocalypse as Bishop seeks to repair the timeline. Legion, Xavier's own son, attempts to kill off all of Xavier's enemies; however, when Legion attempts to murder Magneto, Xavier sacrifices his own life to save Magnus. As a result, Magneto casts off his anti-human sentiments and carries on Xavier's dream of peaceful co-existence, thereby founding the X-Men.",1995-03-01 00:00:00,1996-06-01 00:00:00
314,Age of Ultron,"In a 10-issue event written by Brian Michael Bendis with art by Bryan Hitch, Carlos Pacheco, Brandon Peterson and more, the heroes of the Marvel Universe have already fallen with the robot Ultron remaking the world in his image. The surviving Avengers, X-Men and others must fight through time and space in the hope of defeating their foe by any means necessary!",2013-03-06 00:00:00,2013-06-19 00:00:00
303,Age of X,"In a strange reality where the X-Men never came to be, the war between humans and mutants has escalated to a level never before seen. What has become of our heroes and who will survive as the final war commences?",2011-01-26 00:00:00,2011-05-01 00:00:00
329,All-New All-Different Marvel,"This fall, prepare for an all-new, all-different Marvel Universe to begin!",null,null
229,Annihilation,"Parallel stories pitting the Silver Surfer, Nova, Ronan the Accuser and the Super-Skrull against Annihilus and his forces lead into a climatic six-issue war written by Keith Giffen with art by Andrea DiVito! Follow the machinations of Thanos, the power of Galactus and the early seeds that will create the Guardians of the Galaxy!",2007-06-20 00:00:00,2008-06-01 00:00:00
293,Annihilation: Conquest,"The Phalanx have a new leader in the killer robot Ultron, and he's looking for nothing less than univesal conquest! They've already taken the Kree and assimilated heroes like Ronan and Drax; can a rag tag group including Star-Lord, Quasar, Wraith and the reborn Adam Warlock stop them?",2007-06-20 00:00:00,2009-01-14 00:00:00
231,Armor Wars,Tony Stark discovers that someone has been stealing his Iron Man tech and selling it to supervillains. He decides he must do whatever it takes to reacquire -- or destroy -- the stolen tech.,1987-12-10 00:00:00,2010-03-17 00:00:00
233,Atlantis Attacks,"Ghaur returns to complete his quest to resurrect the evil god Set, but his plan is opposed by Earth's heroes.",1989-01-01 00:00:00,2011-02-16 00:00:00
234,Avengers Disassembled,"Writer Brian Michael Bendis kicks off his historic run with the Avengers by bringing the previous era to a close alongside artist David Finch! Chaos reigns when of Earthâ€™s Mightiest Heroes turns against their teammates, leading the Avengers into a battle that not all will survive! Featuring Iron Man, Captain America, Hawkeye, the Scarlet Witch and more!",2004-07-28 00:00:00,2005-01-01 00:00:00
322,Avengers NOW!,"Sam Wilson, formerly the Falcon, becomes the All-New Captain America! When Thor proves unworthy, a female God of Thunder rises up! Tony Stark declares himself the Superior Iron Man! Earth's Mightiest Heroes undergo major changes across the board!",2037-01-01 01:00:00,2037-01-01 01:00:00
310,Avengers VS X-Men,"A 12-issue event written by the unprecedented team of Brian Michael Bendis, Jason Aaron, Jonathan Hickman, Ed Brubaker and Matt Fraction with art by the blockbuster trio of John Romita Jr., Olivier Coipel and Adam Kubert, Avengers VS X-Men brings Marvel's biggest characters up against the greatest threat they've ever faced: each other!",2012-04-04 00:00:00,2012-09-19 00:00:00
320,Axis,"The Red Skull has taken over Genosha and stands poised to plunge the planet into World War Hate! The Avengers and X-Men must team-up with each other and some of their greatest foes, but along the way, Inversion changes everything! Anything can happen in this nine-issue event written by Rick Remender with the art of Jim Cheung, Terry Dodson, Adam Kubert and Leinil Yu!",2014-10-08 00:01:00,2014-12-17 11:59:00
235,Blood and Thunder,"Driven mad by the machinations of the evil Valkyrie, Thor sets out to destroy the Nine Worlds but is opposed by the Silver Surfer, Warlock and the Infinity Watch.",1993-11-10 00:00:00,1994-02-10 00:00:00
