hero,group
1b7345c8-3534-4dae-86e5-44afeedbdbf7,2fca2a77-1458-4532-a307-1b30f1758b61
272504bd-1c33-4c96-a765-c3cee3e8742a,2fca2a77-1458-4532-a307-1b30f1758b61
48e3455d-c108-46b4-87d2-885426266aa8,2fca2a77-1458-4532-a307-1b30f1758b61
9b148f20-e98e-4f49-ba31-e952345f1acd,2fca2a77-1458-4532-a307-1b30f1758b61
69450170-f0e0-4d86-8484-268536b32925,2fca2a77-1458-4532-a307-1b30f1758b61
a8521022-a926-4e58-95dd-ecc26def8ee8,2fca2a77-1458-4532-a307-1b30f1758b61
ce2d47bd-e0b6-4833-af53-d2c284145863,2fca2a77-1458-4532-a307-1b30f1758b61
33010f8d-9c11-4150-afc3-60eb99228c74,2fca2a77-1458-4532-a307-1b30f1758b61
bcb5832b-d2f2-4ef3-9f64-11f99a13bde9,2fca2a77-1458-4532-a307-1b30f1758b61
7612cca2-e740-4606-a823-a6ae7a699e22,2fca2a77-1458-4532-a307-1b30f1758b61
f04de33d-64cd-47a7-aab8-a7ba874576ce,c34ad369-300e-455f-a713-c17bd8d8b8f8
4ff3236b-baee-4e69-a521-b8ef9a9610a9,c34ad369-300e-455f-a713-c17bd8d8b8f8
340753b7-e1c5-49a5-b6fb-65dc190a7505,c34ad369-300e-455f-a713-c17bd8d8b8f8
02d3876c-8ba0-4a7e-b749-be5fa1897169,c34ad369-300e-455f-a713-c17bd8d8b8f8
54a64fdf-6d5b-4c0b-b51b-b23407df8652,c34ad369-300e-455f-a713-c17bd8d8b8f8
be159198-5817-4c56-bdbe-796cbff9d9bb,df378913-cce6-45e2-aab3-c1523b4e70b4
e198779f-f006-4840-ab8a-8fe4d87c1a43,df378913-cce6-45e2-aab3-c1523b4e70b4
fdeb81b2-2a29-40e6-9562-31e9235b310f,df378913-cce6-45e2-aab3-c1523b4e70b4
f1ec7818-22a3-43bd-9292-206027ef0384,df378913-cce6-45e2-aab3-c1523b4e70b4
54a64fdf-6d5b-4c0b-b51b-b23407df8652,df378913-cce6-45e2-aab3-c1523b4e70b4
bc7fa871-32e3-4e34-920d-94ab78f2d5c8,a49762b8-69b4-4a70-a7c1-2fa3ef241bcf
a0a7452d-e210-49e2-a195-1332e0a140a7,d2bf7139-8f2d-4342-b643-cba0970c07ad
62abc60b-0f9b-432e-a1ce-94fe3d50686f,2603c8e1-54ba-4f21-ad76-012c586bf149
887e8690-b1ca-4e4e-b3a1-a52894f293d1,2603c8e1-54ba-4f21-ad76-012c586bf149
3017cef9-e9a9-4b9d-a18f-e675a7ca88b0,2603c8e1-54ba-4f21-ad76-012c586bf149
ad7aa449-6be7-494b-8c85-5a31f170d8cf,2603c8e1-54ba-4f21-ad76-012c586bf149
318b6946-121a-4329-988b-18ef416240cd,2603c8e1-54ba-4f21-ad76-012c586bf149
e8512c52-8f5d-429e-b9d3-80040f2f36df,1a290c39-bd9b-4371-a979-2efa9762e52d
26ec1eb2-e1be-4fed-ada7-d3c5fcdaab09,a458a0c6-bee5-4e7d-9922-8b0c58315ac1
5c0891e5-c8e2-4a20-90c5-f21ace376001,a458a0c6-bee5-4e7d-9922-8b0c58315ac1
1b7345c8-3534-4dae-86e5-44afeedbdbf7,7249a7a4-c5d6-40d3-9212-813e7702b6f9
272504bd-1c33-4c96-a765-c3cee3e8742a,7249a7a4-c5d6-40d3-9212-813e7702b6f9
d4e8f54b-2674-48e4-afcf-316287ea43b3,7249a7a4-c5d6-40d3-9212-813e7702b6f9
1c02ce63-41d9-4e6e-974e-dd2a5fa1183f,7249a7a4-c5d6-40d3-9212-813e7702b6f9
09cdc768-8215-4518-8789-0c0d065a937d,7249a7a4-c5d6-40d3-9212-813e7702b6f9
3017cef9-e9a9-4b9d-a18f-e675a7ca88b0,7249a7a4-c5d6-40d3-9212-813e7702b6f9
6f6245f6-03f7-4131-ab8d-54d4d4383b71,7249a7a4-c5d6-40d3-9212-813e7702b6f9
263a1e51-326b-45f7-91b4-298acbaa6291,7249a7a4-c5d6-40d3-9212-813e7702b6f9
f28d4a08-d9a0-4f6c-91c7-cc4acc346cd4,7249a7a4-c5d6-40d3-9212-813e7702b6f9
ac75b839-5c59-47f5-a75d-313b87c61925,7249a7a4-c5d6-40d3-9212-813e7702b6f9
7612cca2-e740-4606-a823-a6ae7a699e22,7249a7a4-c5d6-40d3-9212-813e7702b6f9
9b148f20-e98e-4f49-ba31-e952345f1acd,55e564ed-4c2d-477e-8c88-a74f587ca261
cbdaf545-2a85-45cd-8a82-c638f846395a,55e564ed-4c2d-477e-8c88-a74f587ca261
856b61c5-1a3d-4e92-8585-a0a1f4d04f12,55e564ed-4c2d-477e-8c88-a74f587ca261
ddccffba-dd7f-40e9-80ff-cb429db9c7ab,55e564ed-4c2d-477e-8c88-a74f587ca261
fb4e051c-823c-43e5-9a2a-bebccc1b8159,55e564ed-4c2d-477e-8c88-a74f587ca261
2a19068f-cabc-4922-8004-1f1cb2c945a1,55e564ed-4c2d-477e-8c88-a74f587ca261
a0ca771e-1184-4d4c-bfd4-eb6dbfad5a22,55e564ed-4c2d-477e-8c88-a74f587ca261
7edc8835-749b-4838-b81b-d42ea94cd7d0,55e564ed-4c2d-477e-8c88-a74f587ca261
00cc62ce-d881-44ed-b0d6-7ec0841077b1,55e564ed-4c2d-477e-8c88-a74f587ca261
