source,target,type
c52f0d2e-c478-4307-8f71-3f6d751f6b4e,423a200d-9ffc-4f74-a748-3be4e771c346,ALLY
c52f0d2e-c478-4307-8f71-3f6d751f6b4e,5f4e3b38-f4b5-45e5-adcb-03347afbfe49,ALLY
43ebaa36-b8bf-4f84-9e37-c42377489522,5f4e3b38-f4b5-45e5-adcb-03347afbfe49,ALLY
a0a7452d-e210-49e2-a195-1332e0a140a7,2ae21c6e-d551-4746-9ce9-32daada7d32f,ALLY
7612cca2-e740-4606-a823-a6ae7a699e22,1c02ce63-41d9-4e6e-974e-dd2a5fa1183f,ALLY
1b838aa2-c05e-4a85-aaed-b5ffda25cdb5,1c02ce63-41d9-4e6e-974e-dd2a5fa1183f,ALLY
69dde144-9ca7-485e-a825-cf0376c03ee1,1c02ce63-41d9-4e6e-974e-dd2a5fa1183f,ALLY
c485aa0d-c65f-41b3-a4d2-1af3ed217e22,67328fa7-4fc4-477f-bfc9-a556b41c9cbb,ALLY
4d7a7eee-5da7-4d4e-9dc2-d8dca18da46b,67328fa7-4fc4-477f-bfc9-a556b41c9cbb,ALLY
22cb1883-a5d6-470f-91b0-73008fa18fe1,c7b38a53-1981-4782-b8b3-56b3e77d0b3c,ENEMY
941ea176-df1b-4d28-beb3-4af8094ad2de,be64cdfa-69b1-4cf9-812c-74823591731f,ALLY
e8512c52-8f5d-429e-b9d3-80040f2f36df,280a1394-51cc-4491-bc46-41c7bfd00f83,RELATIVE
8216ce1c-0dde-474c-9c1a-57201939078c,280a1394-51cc-4491-bc46-41c7bfd00f83,RELATIVE
0d4673bd-843e-4ef6-91c3-6e46c8b506df,280a1394-51cc-4491-bc46-41c7bfd00f83,RELATIVE
e8a83f57-6717-403f-84e9-56ecded817c7,280a1394-51cc-4491-bc46-41c7bfd00f83,RELATIVE
4d7a7eee-5da7-4d4e-9dc2-d8dca18da46b,280a1394-51cc-4491-bc46-41c7bfd00f83,RELATIVE
a0c2db0e-f565-4953-969e-ca11493c92d8,280a1394-51cc-4491-bc46-41c7bfd00f83,ALLY
a0c2db0e-f565-4953-969e-ca11493c92d8,bb2bd40e-f547-46b7-ab65-2f7f192bfd31,ALLY
1f9fc7ec-5861-4133-bc65-8ae5f73542c2,d633b8ba-982d-4f1b-ae66-8e6641dd591f,ENEMY
281befb6-2fc6-4664-8af7-426fe519bf14,d633b8ba-982d-4f1b-ae66-8e6641dd591f,ALLY
8216ce1c-0dde-474c-9c1a-57201939078c,bc5174b2-13bc-4777-8ca5-cb3e69d83ff6,ALLY
9511b338-9f11-4c78-99b2-ea49a41b15a6,0db63e39-521c-492d-a9cc-e874d0335f34,ALLY
eadd8f5e-399a-4aad-8d6b-02eb641dea64,b869c676-a78c-4cfa-af42-bc17af1ef741,ALLY
eadd8f5e-399a-4aad-8d6b-02eb641dea64,1658c37f-3f02-4feb-8c18-ecd825ebbd85,ALLY
eadd8f5e-399a-4aad-8d6b-02eb641dea64,c0c7d949-1658-4e33-80fb-5b25bdc329b8,ALLY
682f57bc-9422-43db-9406-224cda3735fc,69157309-1072-486c-a00d-4852989fa19f,ALLY
d4817141-b660-4e4b-881f-7db1d7b6951a,307372dd-44d4-4316-8768-e47fc30992fd,ALLY
d4817141-b660-4e4b-881f-7db1d7b6951a,8ba4bbec-18e9-455d-8c13-5aba023ccc36,ALLY
1b838aa2-c05e-4a85-aaed-b5ffda25cdb5,f3099ddb-f5e5-45d5-b227-5eb14c03f298,ALLY
54ef7a3c-cc94-46a3-a575-b90e45ccdc31,262500db-86d4-45a7-9a4a-c4544057ff70,ALLY
36d64e25-fb8b-4307-94c2-7f44b27a24e2,6bbc7be7-bf3c-4529-b80c-d0d0434dc30f,ALLY
f28d4a08-d9a0-4f6c-91c7-cc4acc346cd4,f2235a26-ff19-4d1f-80ce-99ebd67b18eb,ENEMY
36d64e25-fb8b-4307-94c2-7f44b27a24e2,f2235a26-ff19-4d1f-80ce-99ebd67b18eb,ALLY
4d7a7eee-5da7-4d4e-9dc2-d8dca18da46b,d1e13ba3-b3eb-4fb0-a07c-e1c4e0b788f8,ENEMY
48cd33ec-9c69-473d-a1d7-d3b654fd5119,d1e13ba3-b3eb-4fb0-a07c-e1c4e0b788f8,ALLY
cbe82e9f-ab46-4351-b3ed-b83bb9474c45,3c65ff51-d217-4f91-8cd5-4988e7709ced,ALLY
cbe82e9f-ab46-4351-b3ed-b83bb9474c45,2ba70ea4-0c6e-439e-ba82-5fda67a1a6e6,ALLY
