id,name,education,place_of_origin,aliases,identity
423a200d-9ffc-4f74-a748-3be4e771c346,"MAXWELL ""MAX"" DILLON ELECTRO",High school graduate,"Endicott, New York",None,Known to legal authorities
5f4e3b38-f4b5-45e5-adcb-03347afbfe49,EUGENE THOMPSON FLASH THOMPSON,"High-school graduate, some college courses and military training","Forest Hills, Queens, NY","Flash; has impersonated Stilt-Man, Hobgoblin, Spider-Man",No dual identity
2ae21c6e-d551-4746-9ce9-32daada7d32f,ALTER EGO,Unrevealed,Unrevealed,null,No dual identity
1c02ce63-41d9-4e6e-974e-dd2a5fa1183f,NICHOLAS JOSEPH FURY NICK FURY,"High school, possibly unfinished; extensive military and intelligence training","Clinton, New York City, New York","Mr. Anger, Doyle, the Man in the Mystery Mask, Patch, various others used in espionage; impersonated Scorpio",No dual identity
67328fa7-4fc4-477f-bfc9-a556b41c9cbb,JOHN F. WALKER U.S.AGENT,High School Graduate,"Custer's Grove, Georgia","Captain America, Super-Patriot, Jack Daniels, Liegeman, Guardsman XL5, Warden","Secret, known to Government and to Avengers"
c7b38a53-1981-4782-b8b3-56b3e77d0b3c,"TANELEER TIVAN THE COLLECTOR Offbeat alien Taneleer Tivan seeks both objects and living creatures that he finds of interest for his massive collection, including unwilling participants and dangerous weapons.",Countless milennia of accumulated knowledge,Cygnus X-1,"Nighthawk, Tom Fagan, Korvac",Existence unknown to general public
be64cdfa-69b1-4cf9-812c-74823591731f,SILAS KING SOLARR,Unrevealed,"Carson City, Nevada",None,Publicly known
280a1394-51cc-4491-bc46-41c7bfd00f83,LUNA MAXIMOFF,null,Moon,null,Public
bb2bd40e-f547-46b7-ab65-2f7f192bfd31,WYATT WINGFOOT,"Bachelor's Degree from Metro University, Tribal training in tracking","Keewazi Indian Reservation, Oklahoma",None,Publicly Known
d633b8ba-982d-4f1b-ae66-8e6641dd591f,SURTUR,Destruction,"Unrevealed, possibly Muspelheim",None,Secret
bc5174b2-13bc-4777-8ca5-cb3e69d83ff6,UNREVEALED ASTRA,Unrevealed,Unrevealed planet in the Shi'ar Empire,None,Secret
0db63e39-521c-492d-a9cc-e874d0335f34,UNKNOWN ACHEBE,"Ph.D. in Law (Yale), degrees in Psychology, Political Science and Divinity",Ghudaza,"Reverend Doctor Michael ibn al-Hajj Achebe, Bob",Secret
b869c676-a78c-4cfa-af42-bc17af1ef741,NOH-VARR MARVEL BOY,Unrevealed,Unrevealed (alternate reality),Ensign Marvel,Existence unknown to general public
1658c37f-3f02-4feb-8c18-ecd825ebbd85,SPECTRUM MONICA RAMBEAU,College and Police Academy graduate,"New Orleans, Louisiana","Pulsar, Photon, Daystar, Captain Marvel, Sceptre, Lady-of-Light",Secret
c0c7d949-1658-4e33-80fb-5b25bdc329b8,DAVID ALLEYNE PRODIGY,High school,"Chicago, Illinois",None,Secret
69157309-1072-486c-a00d-4852989fa19f,"JEMMA SIMMONS S.H.I.E.L.D. Academy's youngest and brightest, Dr. Simmons' brilliance and persistence has helped her survive the impossible.",PhDs in Biology and Chemistry,"Sheffield, England","Fitz-Simmons, Ms. Steranko, Deathlok",No dual identity
307372dd-44d4-4316-8768-e47fc30992fd,EDWARD LAVELL EEL,Unrevealed,Unrevealed,Sylvester “Snake” Marston,Known to the authorities
8ba4bbec-18e9-455d-8c13-5aba023ccc36,POSSIBLY DEIDRE WENTWORTH SUPERIA,Unrevealed,Unrevealed,None,Secret
f3099ddb-f5e5-45d5-b227-5eb14c03f298,"NICHOLAS JOSEPH FURY, JR. NICK FURY JR. A veteran S.H.I.E.L.D. operative, Nick Fury Jr. continues the legacy as one of the greatest super spies in the world","BA in Philosophy from University of Georgia, extensive military training, presumably US Army Ranger school","Atlanta, Georgia (presumably)","Nicholas Fury (previously Marcus Johnson) , Fury 2.0, Agent Fury, Sarge, Marcus Johnson",No dual identity
262500db-86d4-45a7-9a4a-c4544057ff70,DWAYNE MICHAEL TAYLOR NIGHT THRASHER,College level studies under private tutors,"New York City, New York",None,Secret
6bbc7be7-bf3c-4529-b80c-d0d0434dc30f,UNKNOWN FLAG-SMASHER,null,"Bern, Switzterland",null,Secret
