"uri","city","state"
"http://www.wikidata.org/entity/Q11916063","el Brull","Catalunya"
"http://www.wikidata.org/entity/Q18286048","Villabrágima","Castilla y León"
"http://www.wikidata.org/entity/Q43165321","Teruel","Aragón"
"http://www.wikidata.org/entity/Q2583106","Cardona","Catalunya"
"http://www.wikidata.org/entity/Q20492963","Segura","Euskadi"
"http://www.wikidata.org/entity/Q1934670","Olite/Erriberri","Navarra - Nafarroa"
"http://www.wikidata.org/entity/Q2942708","Lugo","Galicia / Galiza"
"http://www.wikidata.org/entity/Q6383015","Cervera","Catalunya"
"http://www.wikidata.org/entity/Q47183352","Castellterçol","Catalunya"
"http://www.wikidata.org/entity/Q6421861","les Avellanes i Santa Linya","Catalunya"
"http://www.wikidata.org/entity/Q4894835","Sitges","Catalunya"
"http://www.wikidata.org/entity/Q3585188","Isona i Conca Dellà","Catalunya"
"http://www.wikidata.org/entity/Q858907","Sevilla","Andalucía"
"http://www.wikidata.org/entity/Q5795986","Oviedo","Asturias / Asturies"
"http://www.wikidata.org/entity/Q43105026","Malla","Catalunya"
"http://www.wikidata.org/entity/Q3395771","Alacant / Alicante","Comunitat Valenciana"
"http://www.wikidata.org/entity/Q155443","Santiago","Galicia / Galiza"
"http://www.wikidata.org/entity/Q5792474","Sevilla","Andalucía"
"http://www.wikidata.org/entity/Q5903055","Cádiz","Andalucía"
"http://www.wikidata.org/entity/Q2534168","Valladolid","Castilla y León"
"http://www.wikidata.org/entity/Q5911924","Villalcázar de Sirga","Castilla y León"
"http://www.wikidata.org/entity/Q3772302","Valladolid","Castilla y León"
"http://www.wikidata.org/entity/Q5991838","Oviedo","Asturias / Asturies"
"http://www.wikidata.org/entity/Q3054904","Terrassa","Catalunya"
"http://www.wikidata.org/entity/Q11704638","Calonge i Sant Antoni","Catalunya"
"http://www.wikidata.org/entity/Q17592142","l'Hospitalet de Llobregat","Catalunya"
"http://www.wikidata.org/entity/Q5656751","Zaragoza","Aragón"
"http://www.wikidata.org/entity/Q3821803","Madrid","Comunidad de Madrid"
"http://www.wikidata.org/entity/Q9054356","Orihuela","Comunitat Valenciana"
"http://www.wikidata.org/entity/Q11912717","Badalona","Catalunya"
"http://www.wikidata.org/entity/Q43122839","el Far d'Empordà","Catalunya"
"http://www.wikidata.org/entity/Q11912715","l'Hospitalet de Llobregat","Catalunya"
"http://www.wikidata.org/entity/Q932383","Girona","Catalunya"
"http://www.wikidata.org/entity/Q3139146","Toledo","Castilla-La Mancha"
"http://www.wikidata.org/entity/Q3278563","Púbol","Catalunya"
"http://www.wikidata.org/entity/Q56670687","Madrid","Comunidad de Madrid"
"http://www.wikidata.org/entity/Q14475457","Toledo","Castilla-La Mancha"
"http://www.wikidata.org/entity/Q5474516","Guadalajara","Castilla-La Mancha"
"http://www.wikidata.org/entity/Q47183372","Esterri d'Àneu","Catalunya"
"http://www.wikidata.org/entity/Q47183375","Calldetenes","Catalunya"
"http://www.wikidata.org/entity/Q47183380","Calldetenes","Catalunya"
"http://www.wikidata.org/entity/Q11680593","Mont-ras","Catalunya"
"http://www.wikidata.org/entity/Q9077688","Alfafar","Comunitat Valenciana"
"http://www.wikidata.org/entity/Q1249989","Nogueira de Ramuín","Galicia / Galiza"
"http://www.wikidata.org/entity/Q9064380","Vic","Catalunya"
"http://www.wikidata.org/entity/Q14924660","Barcelona","Catalunya"
"http://www.wikidata.org/entity/Q9054328","Vilafranca del Penedès","Catalunya"
"http://www.wikidata.org/entity/Q9064384","Sant Cugat del Vallès","Catalunya"
"http://www.wikidata.org/entity/Q19257127","Lloret de Mar","Catalunya"
"http://www.wikidata.org/entity/Q43119698","Arenys de Munt","Catalunya"
"http://www.wikidata.org/entity/Q19672446","Hondarribia","Euskadi"
"http://www.wikidata.org/entity/Q615763","Sant Cugat del Vallès","Catalunya"
"http://www.wikidata.org/entity/Q11680599","Llívia","Catalunya"
"http://www.wikidata.org/entity/Q16577555","Murcia","Región de Murcia"
"http://www.wikidata.org/entity/Q18004984","Sant Feliu de Guíxols","Catalunya"
"http://www.wikidata.org/entity/Q11680598","Ripoll","Catalunya"
"http://www.wikidata.org/entity/Q18004982","Sitges","Catalunya"
"http://www.wikidata.org/entity/Q20492978","Arrasate / Mondragón","Euskadi"
"http://www.wikidata.org/entity/Q18004988","Tortosa","Catalunya"
"http://www.wikidata.org/entity/Q18003899","Olot","Catalunya"
"http://www.wikidata.org/entity/Q18004985","Sitges","Catalunya"
"http://www.wikidata.org/entity/Q7126215","Madrid","Comunidad de Madrid"
"http://www.wikidata.org/entity/Q47183386","Tavèrnoles","Catalunya"
"http://www.wikidata.org/entity/Q47183390","Amer","Catalunya"
"http://www.wikidata.org/entity/Q5836124","Palencia","Castilla y León"
